cluster_name,size,top_shelves,top_subjects,top_keywords
Fiction (England),995,Fiction; Literature; Culture/Civilization/Society; History - British; Humour,England -- Social life and customs -- 19th century -- Fiction; London (England) -- Fiction; England -- Social life and customs -- Fiction; England -- Fiction; English fiction -- 19th century,"england, england social, england fiction, fiction culture, century fiction, society literature, fiction england, customs, social life, life customs"
Literature (English Fiction),977,Literature; Fiction; History - General; Culture/Civilization/Society; Language & Communication,"English fiction -- 19th century; Fiction; Short stories; Essays; Short stories, English","english fiction, fiction english, fiction century, century literature, english, essays, literature fiction, literature, essays literature, century"
Children & Young Adult Reading (Juvenile Literature),940,Children & Young Adult Reading; Literature; Teaching & Education; Fiction; Culture/Civilization/Society,Children's stories; Fairy tales; Readers; Short stories; Children's literature,"juvenile literature, literature children, children, reading, young adult, adult, children young, adult reading, reading literature, young"
Fiction (Fiction Culture),889,Fiction; Literature; Culture/Civilization/Society; Humour; Crime/Mystery,Man-woman relationships -- Fiction; Young women -- Fiction; Love stories; England -- Fiction; Domestic fiction,"fiction culture, society literature, women fiction, england fiction, fiction england, women, fiction, england, literature fiction, social"
Fiction (Sea),863,Fiction; Literature; Travel & Geography; Children & Young Adult Reading; Culture/Civilization/Society,"Sea stories; Adventure stories; Short stories; England -- Social life and customs -- Fiction; Humorous stories, English","sea, sea stories, fiction sea, pirates, stories, geography fiction, sailors, fiction sailors, seafaring, seafaring life"
Art & Photography,811,Art & Photography; Culture/Civilization/Society; History - General; Architecture; Literature,Art; Aesthetics; Painting; Architecture -- Periodicals; Interior decoration,"art, photography, art photography, photography culture, architecture, painting, art art, architecture art, photography history, photography biographies"
History - Warfare (World War),800,History - Warfare; History - General; World War I; History - European; Politics,"World War, 1914-1918; World War, 1914-1918 -- Personal narratives; World War, 1914-1918 -- Personal narratives, English; World War, 1914-1918 -- Poetry; World War, 1914-1918 -- Personal narratives, British","world war, world, war, warfare world, general history, warfare, history warfare, war personal, personal narratives, narratives"
Science-Fiction & Fantasy,790,Science-Fiction & Fantasy; Fiction; Literature; Science Fiction; Crime/Mystery,Science fiction; Short stories; Human-alien encounters -- Fiction; Mars (Planet) -- Fiction; Adventure stories,"science fiction, fiction science, science, fantasy fiction, planet fiction, planet, fiction fantasy, fantasy, literature science, space"
History - American (History American),774,History - American; History - General; Culture/Civilization/Society; Travel & Geography; Biographies,"Pilgrims (New Plymouth Colony); Massachusetts -- History -- New Plymouth, 1620-1691; Mississippi River -- Description and travel; Civil engineering -- Periodicals; Mayflower (Ship)","history american, american history, american, history, river, history history, mississippi, mississippi river, massachusetts, american travel"
Literature (Drama),772,Literature; Fiction; Performing Arts/Film; Culture/Civilization/Society; Humour,Comedy plays; English drama; Comedies; Drama; English drama -- 19th century,"drama, literature performing, performing, performing arts, arts film, film, arts, film fiction, english drama, drama literature"
Travel & Geography,767,Travel & Geography; History - American; History - General; Culture/Civilization/Society; Biographies,United States -- Description and travel; West (U.S.) -- Description and travel; Voyages and travels; Canada -- Description and travel; Arctic regions,"travel, description travel, description, american travel, geography, travel geography, travel history, general travel, history american, west"
Culture/Civilization/Society (Sociology),743,Culture/Civilization/Society; Sociology; Politics; Economics; History - General,Socialism; Economics; Prisons -- Periodicals; Social problems; Charities -- Periodicals,"sociology, economics, politics sociology, politics, society sociology, business, society economics, management, civilization, business management"
Literature (English Poetry),740,Literature; Poetry; Culture/Civilization/Society; History - British; History - General,"English poetry -- 19th century; English poetry; English poetry -- 20th century; Poetry; English poetry -- Early modern, 1500-1700","poetry, english poetry, poetry english, literature poetry, english, poetry century, century literature, poetry literature, century, poetry early"
Children & Young Adult Reading,721,Children & Young Adult Reading; Fiction; Literature; Nature/Gardening/Animals; Children's Book Series,Animals -- Juvenile fiction; Children's stories; Fairy tales; Rabbits -- Juvenile fiction; Conduct of life -- Juvenile fiction,"animals juvenile, children, fiction animals, fiction children, juvenile, children young, adult reading, young adult, adult, reading"
History - American (United States),718,History - American; Politics; History - General; Biographies; Culture/Civilization/Society,United States -- Politics and government; United States -- Politics and government -- Sources; Presidents -- United States -- Messages; United States -- History; United States -- Politics and government -- 1775-1783,"united states, united, states, politics, american politics, states politics, politics government, government, history american, states history"
History - General,718,History - General; Travel & Geography; History - American; Culture/Civilization/Society; History - European,Philippines -- History -- Sources; Demarcation line of Alexander VI; Missions -- Philippines; Philippines -- Discovery and exploration; Voyages and travels,"travel, philippines, general travel, description travel, description, geography, travel geography, discovery exploration, discovery, history general"
Literature (Periodicals),710,Literature; Encyclopedias/Dictionaries/Reference; Culture/Civilization/Society; History - American; Politics,"American periodicals; Literature, Modern -- 19th century -- Periodicals; Literature -- Periodicals; American literature -- Periodicals; English literature -- Periodicals","periodicals, century periodicals, literature periodicals, monthly, periodicals literature, modern century, literature modern, modern, american periodicals, american literature"
Engineering & Construction,707,Engineering & Construction; Computers & Technology; Science - General; Technology; How To...,Inventions; VM; Aeronautics; Airplanes; Civil engineering -- Periodicals,"engineering, construction, technology, engineering construction, computers, computers technology, technology engineering, construction science, science general, technology computers"
Literature (Translations),691,Literature; Fiction; Culture/Civilization/Society; Poetry; Language & Communication,"French fiction -- Translations into English; German fiction -- Translations into English; Short stories, French -- Translations into English; Paris (France) -- Fiction; Fables, French -- Translations into English","translations, translations english, fiction translations, english literature, french, english, french fiction, fiction french, german, fiction german"
Fiction (Science Fiction),684,Fiction; Science-Fiction & Fantasy; Literature; Science Fiction; Psychiatry/Psychology,Science fiction; Short stories; Human-alien encounters -- Fiction; Extraterrestrial beings -- Fiction; Space ships -- Fiction,"science fiction, fiction science, science, fantasy fiction, fiction fantasy, fantasy, encounters fiction, alien encounters, alien, human alien"
Religion/Spirituality/Paranormal (Bible),675,Religion/Spirituality/Paranormal; Philosophy & Ethics; History - Religious; Judaism; Christianity,"Bible -- Criticism, interpretation, etc.; Bible -- Study and teaching; Bible. John; Apocryphal books (New Testament); Bible -- Prophecies","bible, paranormal bible, religion spirituality, spirituality paranormal, spirituality, paranormal, religion, ethics religion, philosophy ethics, ethics"
Poetry,675,Poetry; Literature; Culture/Civilization/Society; Humour; Religion/Spirituality/Paranormal,"Poetry; English poetry; Humorous poetry; Poetry -- Collections; Omar Khayyam -- Parodies, imitations, etc.","poetry, poetry literature, literature poetry, poetry poetry, poetry english, literature, english poetry, poetry translations, english, humorous poetry"
Humour (Humor),669,Humour; Literature; Fiction; Culture/Civilization/Society; Humor,"American wit and humor; English wit and humor; Humorous stories; English wit and humor, Pictorial; Humorous stories, English","humor, humour, humour literature, wit humor, wit, humor humour, american wit, humorous, society humour, english wit"
Fiction (Adventure),660,Fiction; Literature; Culture/Civilization/Society; Science-Fiction & Fantasy; Travel & Geography,Adventure stories; Short stories; Fantasy fiction; Love stories; Fiction,"society literature, adventure, fiction culture, culture civilization, civilization society, fiction adventure, society, civilization, culture, japan"
Fiction (Man Woman),656,Fiction; Literature; Culture/Civilization/Society; Gender & Sexuality Studies; Science-Fiction & Fantasy,Man-woman relationships -- Fiction; Love stories; Young women -- Fiction; Short stories; Marriage -- Fiction,"man woman, woman relationships, woman, man, relationships fiction, relationships, studies literature, sexuality, fiction man, gender sexuality"
History - General (Travel),650,History - General; Travel & Geography; Culture/Civilization/Society; History - European; History - Ancient,"Middle East -- Description and travel; Egypt -- Description and travel; History, Ancient; Palestine -- Description and travel; Political statistics -- Handbooks, manuals, etc.","travel, description travel, description, general travel, geography, travel geography, egypt, history general, general, ancient"
Fiction (Historical Fiction),644,Fiction; Literature; History - British; History - General; Culture/Civilization/Society,Historical fiction; Adventure stories; Biographical fiction; England -- Fiction; Knights and knighthood -- Fiction,"historical fiction, historical, fiction historical, fiction history, fiction great, britain history, british literature, history british, british, fiction"
History - European (European),637,History - European; History - General; Travel & Geography; Culture/Civilization/Society; Politics,Europe -- Description and travel; Italy -- Description and travel; France -- Description and travel; Germany -- Description and travel; Paris (France) -- Description and travel,"european, history european, italy, travel, description, description travel, european history, european travel, france, italy description"
Fiction (Literature Fiction),632,Fiction; Literature; Culture/Civilization/Society; History - American; Biographies,English fiction -- 19th century; Fiction; Short stories; American fiction -- 19th century; Love stories,"literature fiction, fiction century, english fiction, century, society literature, women, fiction, fiction english, literature, fiction culture"
Encyclopedias/Dictionaries/Reference (Dictionaries),629,Encyclopedias/Dictionaries/Reference; Language & Communication; Other; Literature; Teaching & Education,Encyclopedias and dictionaries; Copyright -- United States -- Catalogs; Publishers' catalogs -- England -- London; AG; Periodicals,"dictionaries, encyclopedias dictionaries, encyclopedias, reference, dictionaries reference, catalogs, dictionaries encyclopedias, language, catalogs encyclopedias, reference encyclopedias"
History - British (Great Britain),624,History - British; History - General; Biographies; Culture/Civilization/Society; Literature,"Great Britain -- History -- Charles II, 1660-1685 -- Sources; Diarists -- Great Britain -- Diaries; Cabinet officers -- Great Britain -- Diaries; Pepys, Samuel, 1633-1703 -- Diaries; Great Britain -- Social life and customs -- 17th century -- Sources","great britain, britain, great, britain history, british history, history british, diaries, british, britain diaries, sources"
Health & Medicine,619,Health & Medicine; Science - General; History - General; Drugs/Alcohol/Pharmacology; Medicine,Hygiene; Medicine; Physiology; Medicine -- Periodicals; Veterinary medicine,"medicine, health, health medicine, medicine history, medicine science, hygiene, pharmacology, drugs, alcohol, medicine health"
Science-Fiction & Fantasy (Science Fiction),608,Science-Fiction & Fantasy; Literature; Fiction; Science Fiction; Astounding Stories,"Science fiction; Fantasy fiction; Adventure stories; Time travel -- Fiction; Science fiction, American","science fiction, science, fiction fantasy, fantasy, fiction science, fantasy science, literature science, fantasy fiction, fiction literature, fiction"
Humour,599,Humour; Punch; Literature; Journalism/Media/Writing; Encyclopedias/Dictionaries/Reference,"English wit and humor -- Periodicals; American wit and humor -- Periodicals; Great Britain -- History -- Victoria, 1837-1901 -- Humor; William II, German Emperor, 1859-1941 -- Caricatures and cartoons; English wit and humor","humor periodicals, english wit, punch, periodicals punch, wit, wit humor, punch humour, humor, humour, literature english"
Nature/Gardening/Animals (Animals),598,Nature/Gardening/Animals; Science - General; Science - Genetics/Biology/Evolution; Animal; Animals-Wild-Mammals,Insects; Animal behavior; Bats; Mice; Animals,"animals, animals science, nature gardening, gardening animals, nature, gardening, animal, animals wild, wild, mammals"
Literature (Poetry),595,Literature; Poetry; Culture/Civilization/Society; History - American; Fiction,American poetry; American poetry -- 20th century; American poetry -- 19th century; Canadian poetry; Poetry,"poetry, american poetry, poetry american, literature poetry, poetry century, poetry literature, american, canadian poetry, century literature, poetry canadian"
Fiction (Paranormal Fiction),588,Fiction; Literature; Religion/Spirituality/Paranormal; Culture/Civilization/Society; Science-Fiction & Fantasy,Christian fiction; Paranormal fiction; Short stories; Horror tales; Religious fiction,"paranormal fiction, literature religion, paranormal, fiction christian, christian, spirituality paranormal, religion spirituality, spirituality, religion, christian fiction"
History - American (Civil War),585,History - American; History - Warfare; US Civil War; Biographies; Fiction,"United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865 -- Fiction; United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate; United States -- History -- Civil War, 1861-1865 -- Campaigns; Lincoln, Abraham, 1809-1865","civil war, civil, history civil, states history, war, states, united states, united, history american, confederate"
Philosophy & Ethics,578,Philosophy & Ethics; Psychiatry/Psychology; Religion/Spirituality/Paranormal; Health & Medicine; Culture/Civilization/Society,Conduct of life; Ethics; Philosophy; Etiquette; Logic,"psychology, psychiatry, psychiatry psychology, philosophy, ethics, philosophy ethics, ethics psychiatry, philosophy philosophy, psychology religion, ethics philosophy"
Culture/Civilization/Society (Indians),541,Culture/Civilization/Society; History - American; Fiction; Native America; History - General,Indians of North America; Indians of North America -- Folklore; Indians of North America -- Fiction; Western stories; Indians of North America -- Juvenile fiction,"indians, america, north america, indians north, north, society history, history american, america culture, native america, native"
Science - Earth/Agricultural/Farming,537,Science - Earth/Agricultural/Farming; Nature/Gardening/Animals; Science - General; Cooking & Drinking; Encyclopedias/Dictionaries/Reference,Bees; Bee culture; Agriculture; Gardening; Northern Nut Growers Association -- Periodicals,"agricultural, farming, earth agricultural, science earth, agricultural farming, earth, gardening, gardening animals, nature gardening, nature"
Fiction (Fiction World),535,Fiction; History - Warfare; Literature; Children & Young Adult Reading; History - General,"World War, 1914-1918 -- Fiction; War stories; World War, 1914-1918 -- Juvenile fiction; Soldiers -- Fiction; Short stories","fiction world, world war, world, war, history warfare, warfare, warfare literature, war fiction, warfare fiction, fiction history"
History - Warfare (Warfare),535,History - Warfare; History - American; History - General; US Civil War; Boer War,"United States -- History -- Civil War, 1861-1865 -- Regimental histories; United States -- History -- Civil War, 1861-1865 -- Personal narratives; South African War, 1899-1902; United States -- History -- Civil War, 1861-1865 -- Campaigns; United States -- History -- Civil War, 1861-1865","warfare, history warfare, war, civil war, civil, history civil, american history, united states, states, warfare united"
Fiction (New York),533,"Fiction; Literature; Culture/Civilization/Society; History - American; Bestsellers, American, 1895-1923",New York (N.Y.) -- Fiction; Short stories; New York (N.Y.) -- Social life and customs -- Fiction; Love stories; Man-woman relationships -- Fiction,"new york, york, new, fiction new, york fiction, york state, state, fiction culture, society literature, york social"
Travel & Geography (England Description),513,Travel & Geography; History - General; History - European; History - British; Culture/Civilization/Society,England -- Description and travel; London (England) -- Description and travel; England -- Social life and customs; Great Britain -- Description and travel; London (England) -- Social life and customs,"england description, england, travel, description, description travel, travel geography, geography, european travel, london, travel history"
Science - General (Physics),507,Science - General; Science - Astronomy; Mathematics; Science - Physics; History - General,Astronomy; Science; Relativity (Physics); Mathematics; Physics,"physics, astronomy, science general, physics science, mathematics, science, astronomy science, science astronomy, chemistry, mathematics science"
Fiction (Italy),504,Fiction; Literature; Culture/Civilization/Society; Travel & Geography; History - General,Love stories; Italy -- Fiction; Man-woman relationships -- Fiction; Historical fiction; Short stories,"italy, italy fiction, fiction culture, society literature, fiction italy, literature fiction, civilization society, culture civilization, society, culture"
Children & Young Adult Reading (Juvenile),497,Children & Young Adult Reading; Fiction; History - Warfare; Children's Book Series; History - American,"Aeronautics -- Juvenile fiction; Adventure stories; Mystery and detective stories; World War, 1914-1918 -- Juvenile fiction; Adventure and adventurers -- Juvenile fiction","juvenile fiction, juvenile, adult reading, children young, young adult, adult, reading, young, fiction children, aeronautics juvenile"
Culture/Civilization/Society (Folklore),492,Culture/Civilization/Society; Literature; Children & Young Adult Reading; Travel & Geography; Religion/Spirituality/Paranormal,Fairy tales; Tales -- Arab countries; Folklore -- Arab countries; Folklore; Fairy tales -- Arab countries,"folklore, tales, fairy tales, fairy, arab countries, arab, countries, mythology, tales arab, civilization society"
History - American,489,History - American; Literature; Culture/Civilization/Society; Fiction; Biographies,"American essays; American essays -- 20th century; United States -- History -- Revolution, 1775-1783 -- Fiction; Autographs -- United States -- Facsimiles; United States -- History -- Revolution, 1775-1783 -- Sources","american literature, american, history american, american essays, essays, history revolution, states, revolution, united states, united"
Fiction,484,Fiction; Literature; Culture/Civilization/Society; History - General; History - European,Paris (France) -- Fiction; Historical fiction; French fiction -- Translations into English; Love stories; Man-woman relationships -- Fiction,"france, france fiction, fiction france, paris, paris france, fiction paris, fiction culture, france social, literature fiction, fiction"
Children & Young Adult Reading (Children Periodicals),481,Children & Young Adult Reading; Encyclopedias/Dictionaries/Reference; Harper's Young People; The Great Round World And What Is Going On In It; History - General,"Children's periodicals, American; Children's literature -- Periodicals; Children's periodicals; History, Modern -- 19th century -- Juvenile literature -- Periodicals; Children's literature, American -- Periodicals","children periodicals, reference children, reading encyclopedias, children, periodicals, periodicals american, periodicals children, young, literature periodicals, children literature"
History - General (France),479,History - General; History - European; Literature; Fiction; Culture/Civilization/Society,"France -- Court and courtiers; Historical fiction; France -- History -- Louis XIV, 1643-1715; Quotations, French -- Translations into English; France -- History -- Revolution, 1789-1799 -- Fiction","france, france history, louis, history european, european, france court, court courtiers, king france, history louis, court"
Biographies (Biographies),479,Biographies; History - General; Literature; History - European; Culture/Civilization/Society,"Casanova, Giacomo, 1725-1798; Europe -- History -- 18th century -- Biography; Biography; Chautauqua Literary and Scientific Circle -- Periodicals; Chautauqua Institution -- Periodicals","biographies, biography, photography biographies, biographies history, casanova, casanova giacomo, giacomo, history european, european, biography biographies"
Teaching & Education,475,Teaching & Education; Language & Communication; Literature; History - Schools & Universities; Culture/Civilization/Society,Education; LF; Teaching; English language -- Grammar; Oratory,"education, teaching, teaching education, language, communication, language communication, communication teaching, english language, education education, education english"
History - British,470,History - British; Culture/Civilization/Society; History - General; Politics; Sociology,Working class -- Great Britain; Social problems; Poor -- England -- London; Criminals -- Great Britain; Great Britain -- Social conditions -- 19th century,"great britain, britain, great, history british, british, law, london, british law, england london, england"
History - American (Slavery),465,History - American; Culture/Civilization/Society; Politics; Biographies; Slavery,"Slavery -- United States; African Americans; United States -- Race relations; African Americans -- Biography; Speeches, addresses, etc., American","slavery, african, african americans, americans, slavery united, enslaved, enslaved persons, persons, states, history american"
Literature (Medieval),462,Literature; History - Medieval/The Middle Ages; History - General; History - British; Culture/Civilization/Society,"Historical drama; Great Britain -- Kings and rulers -- Drama; Europe -- History -- 476-1492 -- Sources; France -- History -- House of Valois, 1328-1589; Hundred Years' War, 1339-1453","medieval, ages, middle ages, middle, history medieval, medieval middle, shakespeare, shakespeare william, william, history"
Literature (Greek),445,Literature; History - General; Culture/Civilization/Society; History - Ancient; Philosophy & Ethics,"Classical literature; Socrates, 470 BC-399 BC; Philosophy, Ancient; Epic poetry, Greek -- Translations into English; Literature -- Collections","greek, greece, classical, ancient, history ancient, mythological, mythological character, translations, translations english, mythology"
Gender & Sexuality Studies,443,Gender & Sexuality Studies; Culture/Civilization/Society; Sociology; Politics; History - General,Women -- Social and moral questions; Marriage; Sex; Sexual ethics; Women -- Social conditions,"sexuality, sexuality studies, gender sexuality, gender, women, studies, society gender, sociology, studies history, sex"
Nature/Gardening/Animals,425,Nature/Gardening/Animals; Science - General; Animals-Wild-Birds; Animal; Children & Young Adult Reading,Birds -- Periodicals; Natural history -- Periodicals; Birds; Natural history -- Outdoor books; Animals -- Anecdotes,"birds, animals, nature, nature gardening, gardening animals, animals science, gardening, science general, general birds, natural history"
Sports/Hobbies/Motoring,423,Sports/Hobbies/Motoring; Travel & Geography; Culture/Civilization/Society; How To...; Other,Knitting -- Patterns; Crocheting -- Patterns; Horsemanship; Amusements; Games,"sports, hobbies, motoring, sports hobbies, hobbies motoring, patterns, motoring travel, knitting, animals sports, society sports"
History - American (National),414,History - American; Travel & Geography; Science - Earth/Agricultural/Farming; Science - General; History - General,Geology; Yellowstone National Park; Pueblo Indians -- Antiquities; Volcanoes; Paleontology,"national, park, national park, antiquities, earth agricultural, agricultural farming, science earth, farming, geology, agricultural"
Children & Young Adult Reading (Poetry Children),403,Children & Young Adult Reading; Poetry; Literature; Children's Picture Books; Humour,"Children's poetry; Nursery rhymes; Children's poetry, English; Picture books for children; Children's stories","poetry children, poetry, juvenile poetry, children poetry, reading poetry, children, rhymes, nursery rhymes, picture books, picture"
Fiction (Canada),386,Fiction; Literature; Culture/Civilization/Society; Travel & Geography; History - American,"Canada -- Fiction; Canadian fiction; Short stories, Canadian; Canada, Northern -- Fiction; Northwest, Canadian -- Fiction","canada, fiction canada, canadian, canada fiction, canadian fiction, fiction canadian, geography fiction, literature travel, fiction culture, society literature"
Culture/Civilization/Society,384,Culture/Civilization/Society; History - General; Travel & Geography; History - British; Nature/Gardening/Animals,Prehistoric peoples; New Zealand -- Description and travel; DX; Archaeology; Romanies,"travel, society history, geography, travel geography, cornwall, history general, england, general travel, civilization, ethnology"
Music,364,Music; Biographies; Performing Arts/Film; History - General; Literature,"Music -- History and criticism; Wagner, Richard, 1813-1883; Beethoven, Ludwig van, 1770-1827; Operas -- Stories, plots, etc.; Singing","music, biographies music, composers, music music, opera, music performing, biographies, music history, wagner richard, wagner"
History - Warfare,337,History - Warfare; History - British; History - General; History - European; Biographies,"Great Britain. Army -- History; World War, 1914-1918 -- Regimental histories -- Great Britain; Peninsular War, 1807-1814; Peninsular War, 1807-1814 -- Personal narratives, British; Great Britain -- History, Military","britain army, army, great britain, britain, great, warfare great, history warfare, warfare, british history, british"
Literature (Rome),337,Literature; Fiction; History - General; History - Ancient; Historical Fiction,German fiction -- Translations into English; Egypt -- History -- 30 B.C.-640 A.D. -- Fiction; Egypt -- History -- To 332 B.C. -- Fiction; Egypt -- History -- 332-30 B.C. -- Fiction; Tragedies,"rome, egypt, egypt history, history fiction, english egypt, rome history, german fiction, fiction german, history ancient, ancient"
Literature (Spain),336,Literature; Fiction; Culture/Civilization/Society; History - General; History - European,Romances; Spain -- Social life and customs -- 16th century -- Fiction; Picaresque literature; Knights and knighthood -- Spain -- Fiction; Spain -- Description and travel,"spain, spanish, spain history, spain social, spain fiction, spain description, picaresque, picaresque literature, romances spain, fiction picaresque"
Fiction (Christmas),332,Fiction; Literature; Culture/Civilization/Society; Children & Young Adult Reading; Christmas,Christmas stories; Christmas plays; Children's stories; Short stories; Christmas,"christmas, fiction christmas, christmas stories, christmas culture, stories christmas, christmas children, stories, poetry christmas, christmas plays, literature christmas"
Literature (Scotland),331,Literature; Culture/Civilization/Society; Fiction; History - General; History - British,"Scotland -- Fiction; Scottish Borders (Scotland) -- Fiction; Scotland -- Social life and customs -- Fiction; Ballads, Scots -- Scotland -- Texts; Highlands (Scotland) -- Fiction","scotland, scottish, scotland fiction, scotland history, fiction scotland, scottish borders, borders, highlands, scotland social, borders scotland"
Cooking & Drinking (Cooking),330,Cooking & Drinking; Cookbooks and Cooking; Culture/Civilization/Society; How To...; Other,"Cooking, American; Cooking; Cookbooks; Home economics; Cooking, English","cooking, cooking drinking, drinking, cookbooks, cookbooks cooking, cooking cooking, cooking american, drinking cooking, drinking culture, american cooking"
Art & Photography (Architecture),329,Art & Photography; History - British; History - General; Culture/Civilization/Society; Architecture,Heraldry -- Great Britain; Caricatures and cartoons -- Great Britain; Cathedrals -- England; London (England) -- History; England -- Description and travel,"architecture, art photography, photography, art, england, photography history, london, london england, british, history british"
Culture/Civilization/Society (Ireland),321,Culture/Civilization/Society; Literature; Fiction; History - European; History - General,Ireland -- Fiction; Ireland -- Social life and customs -- Fiction; Ireland -- Description and travel; Folklore -- Ireland; Tales -- Ireland,"ireland, ireland history, fiction ireland, irish, ireland social, ireland fiction, ireland culture, ireland politics, ireland ireland, history european"
Literature (Russia),320,Literature; Fiction; Culture/Civilization/Society; History - General; History - European,"Russia -- Social life and customs -- Fiction; Russian fiction -- Translations into English; Short stories, Russian -- Translations into English; Russian drama -- Translations into English; Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English","russia, russian, russia social, russian fiction, fiction russia, literature russian, translations english, translations, russia history, russia fiction"
Science - General (Evolution),292,Science - General; Science - Genetics/Biology/Evolution; History - General; Philosophy & Ethics; Biology,Evolution; Evolution (Biology); Science; Human beings -- Origin; Heredity,"evolution, biology, genetics, biology evolution, genetics biology, science genetics, general science, evolution biology, science general, science"
History - European (Napoleon),254,History - European; History - General; Biographies; History - British; History - Warfare,"Napoleon I, Emperor of the French, 1769-1821; Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries; Private secretaries -- France -- Biography; Napoleon I, Emperor of the French, 1769-1821 -- Relations with private secretaries; Bourrienne, Louis Antoine Fauvelet de, 1769-1834","napoleon, emperor french, napoleon emperor, emperor, french, france, european history, history european, european, french contemporaries"
Encyclopedias/Dictionaries/Reference (Answers Periodicals),228,Encyclopedias/Dictionaries/Reference; Notes and Queries; Literature; Culture/Civilization/Society; History - General,Questions and answers -- Periodicals; AG; History -- Periodicals; Indexes,"answers periodicals, answers, questions answers, ag questions, queries, notes queries, notes, periodicals notes, ag, questions"
Encyclopedias/Dictionaries/Reference (Reference Periodicals),222,Encyclopedias/Dictionaries/Reference; Literature; Science - General; Other; Chambers's Edinburgh Journal,"Periodicals; Science -- Periodicals; Literature, Modern -- 19th century -- Periodicals; Indexes","reference periodicals, periodicals encyclopedias, periodicals, dictionaries reference, reference, encyclopedias dictionaries, encyclopedias, dictionaries, general periodicals, lippincott"
Cooking & Drinking,218,Cooking & Drinking; Science - General; Nutrition; Health & Medicine; Science - Earth/Agricultural/Farming,Diet; Food; Vegetarianism; Confectionery; Nutrition,"cooking, drinking, cooking drinking, nutrition, drinking science, medicine nutrition, food, diet, technology cooking, medicine"
Literature (Mirror),208,"Literature; The Mirror of Literature, Amusement, and Instruction; Encyclopedias/Dictionaries/Reference; Culture/Civilization/Society; History - British",Popular literature -- Great Britain -- Periodicals; Drama -- Periodicals; Theater -- Periodicals,"mirror, periodicals mirror, mirror literature, literature amusement, amusement instruction, amusement, literature popular, britain periodicals, instruction, literature great"
